Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
201055,2020,7/15/2021,Bristol,108 POND VIEW LN,235830,398000,0.5925,Residential,Single Family,1
201360,2020,8/12/2021,Danbury,6 STONEGATE CT,318500,540000,0.589814815,Residential,Single Family,1
20351,2020,5/24/2021,Darien,36 SHIELDS ROAD,1077160,2020000,0.5332,Residential,Single Family,1
2000342,2020,8/2/2021,Bloomfield,4 ARNOLD DRIVE,200410,366000,0.5475,Residential,Single Family,1
200624,2020,8/9/2021,East Haven,78 HIGHLAND AVE,125250,461000,0.271691974,Residential,Two Family,1
200808,2020,5/19/2021,Bristol,70 UNIONST,128100,95000,1.3484,Residential,Three Family,1
2020177,2020,4/14/2021,Ansonia,323 BEAVER ST,133000,248400,0.5354,Residential,Single Family,1
201180,2020,8/26/2021,Manchester,50 GIANNA DRIVE UNIT 50,163700,277000,0.590974729,Residential,Single Family,1
200001,2020,10/1/2020,East Haven,143 NORTH ATWATER ST,120240,215000,0.5592,Residential,Single Family,0
2000015,2020,10/8/2020,Cheshire,15 FARMERS CT,639200,940000,0.68,Residential,Single Family,0
200011,2020,10/28/2020,Harwinton,159 WILDCAT HILL RD,277250,482000,0.5752,Residential,Single Family,0
200645,2020,8/13/2021,East Haven,171 ANGELA DR,255540,475000,0.5379,Residential,Single Family,1
2000150,2020,1/15/2021,Cheshire,125 VICTORIA DR,100130,508943,0.1967,Residential,Condo,1
200795,2020,4/1/2021,Greenwich,633 STEAMBOAT ROAD UN1,1209040,1675000,0.7218,Residential,Condo,1
200382,2020,6/18/2021,Madison,15 SURF CLUB RD,469300,851000,0.5514,Residential,Single Family,1
20145,2020,11/23/2020,East Hartford,22 ADDISON RD,101590,250000,0.4063,Residential,Single Family,0
200082,2020,12/9/2020,Bloomfield,254 TUNXIS AVENUE,126470,257000,0.4921,Residential,Single Family,0
200519,2020,6/11/2021,East Haven,215 MAPLE ST,99080,175500,0.5645,Residential,Single Family,1
200017,2020,10/20/2020,East Windsor,131 DEPOT ST,34730,290000,0.1197,Vacant Land,Nan,0
200127,2020,9/2/2021,Bethany,466 CARRINGTON RD,213060,399900,0.5327,Residential,Single Family,1
200081,2020,5/11/2021,Beacon Falls,10 LAUREL RIDGE,323900,520000,0.6228,Residential,Condo,1
20445,2020,6/29/2021,Darien,118 COLONY ROAD,934780,1575000,0.5935,Residential,Single Family,1
20560,2020,8/10/2021,Darien,40 TOWER DRIVE,1153250,1575000,0.7322,Residential,Single Family,1
20486,2020,4/19/2021,East Hartford,37 PENDLETON DR,113530,225000,0.5045,Residential,Single Family,1
200058,2020,3/5/2021,Beacon Falls,284 COOK LANE,51230,100000,0.5123,Vacant Land,Nan,1
20051,2020,10/29/2020,Bethel,117 GREAT HILL DRIVE,291760,432208,0.675,Residential,Condo,0
20062,2020,11/4/2020,Bethel,7 HAWLEYVILLE ROAD,242900,445000,0.5458,Residential,Single Family,0
200027,2020,10/30/2020,Coventry,BUNKER HILL RD,53600,34000,1.5764,Vacant Land,Nan,0
200518,2020,2/25/2021,Bristol,29 ALBA DR,124250,157000,0.791401274,Residential,Single Family,1
20506,2002,1/16/2003,Norwalk,10 PLATT ST,178080,371000,0.48,Nan,Nan,1
200223,2020,1/4/2021,Branford,33 HARBOR SIDE,342300,710000,0.4821,Residential,Condo,1
200433,2020,1/20/2021,Bristol,339 PERKINS ST,170730,275000,0.6208,Residential,Single Family,1
20000081,2020,1/19/2021,Granby,30 HAVEN DR,207270,375000,0.5527,Residential,Single Family,1
200324,2020,12/21/2020,Bristol,45 ROBERTS TRACE,156170,277900,0.5619,Residential,Condo,0
200164,2020,6/8/2021,East Windsor,7 HARRINGTON RD,93220,202500,0.4603,Residential,Single Family,1
200096,2020,4/14/2021,Hebron,26 PENDLETON DR,357060,225000,1.5869,Commercial,Nan,1
200272,2020,11/24/2020,Danbury,191 SOUTHERN BL,147900,285000,0.5189,Residential,Single Family,0
200614,2020,2/9/2021,Greenwich,34 COPPER BEECH ROAD,1736280,3025000,0.5739,Residential,Single Family,1
200166,2020,12/21/2020,Farmington,22 MALLARD DR,107250,190000,0.5644,Residential,Condo,0
200519,2020,5/28/2021,Branford,19 BREEZY LA,212200,350000,0.6062,Residential,Single Family,1
200136,2020,10/26/2020,Danbury,15 WEST CROSS TRAIL,18200,434049,0.04193075,Residential,Condo,0
200723,2020,7/16/2021,Enfield,3 CYNTHIA CIR,128060,180000,0.7114,Residential,Single Family,1
200375,2020,7/2/2021,Avon,362 WEST AVON ROAD,164740,230000,0.7162,Residential,Single Family,1
201321,2020,9/16/2021,Bristol,159 NEWELL AVE,75390,131000,0.5754,Residential,Single Family,1
20188,2020,7/19/2021,Burlington,206 COVEY RD,286860,540000,0.5312,Residential,Single Family,1
200338,2020,12/23/2020,Bristol,34 LANDRY ST,100240,173000,0.5794,Residential,Two Family,0
200338,2020,2/26/2021,Glastonbury,216 KNOLLWOOD DR,384900,749900,0.5132,Residential,Single Family,1
200366,2020,12/15/2020,Danbury,16 TAAGAN PT DR,182300,330000,0.5524,Residential,Single Family,0
200427,2020,6/4/2021,Farmington,165 MAIN ST,248890,532500,0.4673,Residential,Single Family,1
20097,2020,11/25/2020,Bethel,8 BLACKMAN AVENUE,264040,445000,0.5933,Residential,Two Family,0
201026,2020,5/17/2021,Greenwich,24 BAYSIDE TERRACE,1048460,1490000,0.7036,Residential,Single Family,1
2020140,2020,2/16/2021,Ansonia,19 LESTER ST,127900,100000,1.279,Residential,Single Family,1
20092,2020,11/23/2020,Bethel,57 GREAT HILL DRIVE,144270,483104,0.2986,Residential,Condo,0
201174,2020,7/6/2021,Danbury,2 BENSON DR,177300,338000,0.5245,Residential,Single Family,1
20029,2020,12/21/2020,Bolton,285 BOLTON CENTER RD,318700,535000,0.5957,Residential,Single Family,0
20391,2020,6/30/2021,Bethel,13 SOUTH CROSSING WAY,160947,588197,0.273627713,Residential,Single Family,1
200797,2020,5/17/2021,Bristol,600 CLARK AVE UN 36,73780,140000,0.527,Residential,Condo,1
200258,2020,9/23/2021,Litchfield,48 TAPPING REEVE VLG,109180,230000,0.4746,Residential,Condo,1
200593,2020,7/21/2021,East Haven,654 LAUREL ST #8,152600,288000,0.5298,Residential,Condo,1
200000295,2020,6/15/2021,Brookfield,55 OBTUSE ROCKS RD,189410,350000,0.5411,Residential,Single Family,1
200652,2020,8/2/2021,Groton,65 & 0 WEST ST,135870,282000,0.4818,Residential,Single Family,1
20001,2020,10/5/2020,Lisbon,24 BLISSVILLE RD,127230,190000,0.6696,Residential,Single Family,0
201204,2020,6/17/2021,Greenwich,7 TURNER DRIVE,3648260,6725000,0.5424,Residential,Single Family,1
20000226,2020,7/27/2021,Granby,76 WEST GRANBY RD,107990,750000,0.1439,Residential,Single Family,1
20413,2020,7/16/2021,Bethel,28 BRIAR RIDGE DRIVE,292110,535000,0.546,Residential,Condo,1
200916,2020,6/21/2021,Manchester,17 DIVISION STREET,132600,255000,0.52,Residential,Two Family,1
2020265,2020,5/25/2021,Berlin,111 BERLIN ST,166900,276750,0.603,Residential,Single Family,1
200611,2020,7/15/2021,Groton,44 SPYGLASS CIR,122080,245000,0.4982,Residential,Condo,1
200356,2020,9/20/2021,Coventry,1338 SOUTH ST,187200,267300,0.7003,Residential,Single Family,1
200765,2020,5/7/2021,Manchester,25 QUARRY KNOLL CIRCLE,286500,485000,0.5907,Residential,Single Family,1
200114,2020,4/13/2021,East Windsor,12A PASCO DR,108920,144000,0.7563,Commercial,Nan,1
200768,2020,5/6/2021,Bristol,221-225 EAST RD,135590,280000,0.4842,Residential,Three Family,1
20313,2020,5/11/2021,Bethel,176 WALNUT HILL ROAD,203630,436000,0.467,Residential,Single Family,1
201096,2020,7/28/2021,Bristol,FIFTH ST LOT 81,25200,10000,2.52,Vacant Land,Nan,1
201370,2020,9/14/2021,Cromwell,20 JENNIFER LANE,315700,549900,0.5741,Residential,Single Family,1
201240,2020,6/23/2021,Greenwich,40 MITCHELL PLACE,379960,759000,0.5006,Residential,Single Family,1
200028,2020,10/14/2020,East Haven,23 OSMOND SR,131510,230000,0.5717,Residential,Single Family,0
200368,2020,12/16/2020,Manchester,512 WEST CENTER STREET,733900,1000000,0.7339,Commercial,Nan,0
200660,2020,8/26/2021,Farmington,1254-C FARMINGTON AV,53460,92500,0.5779,Residential,Condo,1
20362,2020,6/1/2021,Darien,43 COACHLAMP LANE,700840,1210000,0.5792,Residential,Single Family,1
201237,2020,9/17/2021,Hartford,102 OAK ST,95270,225000,0.4234,Commercial,Nan,1
200110,2020,1/14/2021,Cromwell,25 MIDWAY DR,128200,208000,0.6163,Residential,Condo,1
201130,2020,6/4/2021,Greenwich,10 CRESCENT ROAD,980350,1600000,0.6127,Residential,Single Family,1
200087,2020,12/22/2020,East Haddam,3 MILLINGTON RD,259920,420000,0.6188,Residential,Single Family,0
20000247,2020,8/17/2021,Granby,5 BECONTREE HEATH RD,211470,400000,0.5286,Residential,Single Family,1
200004,2020,10/13/2020,Cornwall,382 SHARON GOSHEN TPKE,144200,295000,0.4888,Residential,Single Family,0
20224,2020,9/3/2021,Burlington,24 EAST SHORE BLVD,115710,130000,0.89,Residential,Single Family,1
2020014,2020,10/15/2020,Berlin,783 WORTHINGTON RDG,235000,319000,0.7366,Residential,Single Family,0
200004,2020,10/5/2020,Canton,18 SWEETHEART MOUNTAIN ROAD,295850,449648.85,0.6579,Residential,Single Family,0
200370,2020,12/16/2020,Manchester,129 WEST CENTER STREET,113300,208000,0.5447,Residential,Single Family,0
2000376,2020,9/8/2021,Bloomfield,6 NOLAN DRIVE,127610,271000,0.470885609,Residential,Single Family,1
200136,2020,12/21/2020,East Lyme,10 MIRANDA WAY,281610,525000,0.5364,Residential,Single Family,0
200009,2020,10/13/2020,Essex,17 MACK LA,760000,1390000,0.5467,Vacant Land,Nan,0
200353,2020,4/29/2021,Farmington,18 EVERGREEN TRAIL,142380,200100,0.7115,Residential,Condo,1
200010,2020,10/13/2020,East Windsor,ROCKVILLE RD,4010,65000,0.0616,Vacant Land,Nan,0
200192,2020,4/29/2021,Coventry,157 STONEHOUSE RD,83400,65000,1.283,Residential,Single Family,1
200067,2020,12/3/2020,East Haddam,11 WINTERBROOK RD,37000,40000,0.925,Vacant Land,Nan,0
200120,2020,11/18/2020,Glastonbury,1326 HEBRON AVE,58500,72500,0.8068,Vacant Land,Nan,0
20355,2020,6/7/2021,Bethel,141 OLD HAWLEYVILLE ROAD,206220,300000,0.6874,Residential,Single Family,1
201231,2020,8/27/2021,Bristol,70 HARVARD PL,171150,385000,0.444545455,Residential,Single Family,1
200011,2020,10/2/2020,Enfield,37 WAGON RD,141050,257000,0.5488,Residential,Single Family,0
200019,2020,10/5/2020,Bristol,39 RUDOLPH RD,106540,244000,0.436639344,Residential,Single Family,0
200465,2020,9/14/2021,Killingly,167 BALLOUVILLE RD,107380,250000,0.4295,Residential,Single Family,1
20253,2020,12/16/2020,Hartford,115 SIGOURNEY ST,74585,236000,0.316,Residential,Single Family,0
200527,2020,9/16/2021,Madison,190 OPENING HILL RD,296500,580000,0.5112,Residential,Single Family,1
20413,2020,3/12/2021,East Hartford,95 GOVERNOR ST,86030,85000,1.0121,Residential,Single Family,1
201371,2020,7/9/2021,Greenwich,1465 EAST PUTNAM AVENUE #422,320600,520000,0.6165,Residential,Condo,1
200207,2020,12/14/2020,Enfield,38 HIGH VIEW TERR,102130,215000,0.475,Residential,Single Family,0
20000149,2020,1/22/2021,Brookfield,355 FEDERAL RD,1660430,2300000,0.7219,Commercial,Nan,1
201270,2020,6/24/2021,Cromwell,3 GREENWAY DRIVE,107520,200900,0.5351,Residential,Condo,1
200127,2020,10/26/2020,Danbury,114 FEDERAL RD,8921400,3850000,2.317246753,Commercial,Nan,0
200095,2020,1/8/2021,Colchester,136 CLARK LN,104800,206500,0.5075,Residential,Single Family,1
200021,2020,10/7/2020,Branford,52 HOPSON AVE,165400,208000,0.7951,Residential,Single Family,0
20000115,2020,3/3/2021,Granby,3 LOWER MEADOW DR,2670,140000,0.019,Vacant Land,Nan,1
20950,2020,9/23/2021,East Hartford,263 TOLLAND ST,125860,265000,0.4749,Residential,Two Family,1
200096,2020,7/12/2021,Columbia,33 HENNEQUIN ROAD,146200,326000,0.4484,Residential,Single Family,1
20242,2020,12/15/2020,Hartford,10 BRANFORD ST,33880,166000,0.204,Residential,Single Family,0
200938,2020,5/3/2021,Greenwich,11 RED COAT LANE,1739220,2000000,0.8696,Residential,Single Family,1
200062,2020,11/25/2020,East Haddam,158 TATER HILL RD,187120,395000,0.4737,Residential,Single Family,0
200233,2020,1/7/2021,Groton,69 A ST,0,29000,0,Residential,Single Family,1
200006,2020,10/13/2020,Hebron,103 CHESTNUT HILL RD,226310,190000,1.1911,Residential,Single Family,0
201378,2020,9/30/2021,Bristol,600 CLARK AVE UN 29,73780,155900,0.4732,Residential,Condo,1
200070,2020,3/16/2021,Bethany,11 AMADEO DR,330110,596000,0.5538,Residential,Single Family,1
200570,2020,6/16/2021,Branford,252 LEETES ISLAND RD #13,7900,4000,1.975,Residential,Single Family,1
20277,2020,4/16/2021,Bethel,509 COPPER SQUARE DRIVE,212730,360000,0.5909,Residential,Condo,1
201773,2020,9/27/2021,Greenwich,79 BIBLE STREET,462070,762500,0.6059,Residential,Two Family,1
20690,2020,4/26/2021,Hartford,7 BARBOUR ST,4690,15769,0.2974,Vacant Land,Nan,1
20375,2020,1/27/2021,Hartford,153 STANDISH ST,38955,273000,0.1426,Residential,Two Family,1
20017,2020,10/5/2020,Darien,4 HOMEWOOD LANE,2263590,3500000,0.6467,Residential,Single Family,0
20021,2020,10/13/2020,Bethel,10 OLD HAWLEYVILLE ROAD,238490,450000,0.5299,Residential,Single Family,0
200394,2020,4/13/2021,East Haven,19 FARVIEW AVE,146250,291000,0.5025,Residential,Single Family,1
2000344,2020,5/27/2021,Cheshire,240 TIMBER LANE,204290,359900,0.5676,Residential,Single Family,1
200153,2020,5/25/2021,Essex,6 PINEY BRANCH RD,178000,342000,0.5204,Residential,Single Family,1
20202,2020,12/10/2020,East Hartford,87 KINGSTON DR,185690,315000,0.5894,Residential,Single Family,0
200509,2020,2/3/2021,Manchester,20 RED ROCK LANE,209500,305000,0.6868,Residential,Single Family,1
200367,2020,4/5/2021,Groton,100 STARR HILL RD,183120,340000,0.5385,Residential,Single Family,1
200021,2020,12/31/2020,Bridgewater,125 TOWN LINE ROAD,1891490,2000000,0.9457,Residential,Single Family,0
200568,2020,6/11/2021,Glastonbury,90 MARGARET LN,207500,330000,0.6287,Residential,Single Family,1
200003,2020,10/1/2020,Bristol,536 REDSTONE HILL RD #C-5,103460,164500,0.6289,Residential,Condo,0
20008,2020,10/26/2020,Ashford,203 MANSFIELD RD,120060,210000,0.5717,Residential,Two Family,0
200099,2020,7/6/2021,Harwinton,70 OAKWOOD DR,349570,732500,0.4772,Residential,Single Family,1
200758,2020,5/4/2021,Bristol,17 MILLS ST,103390,245000,0.422,Residential,Two Family,1
200158,2020,11/30/2020,Branford,50 MANORWOOD DR,108300,162020,0.6684,Residential,Condo,0
200555,2020,6/30/2021,East Haven,36 VERA ST,47780,45000,1.0617,Vacant Land,Nan,1
2020360,2020,8/10/2021,Berlin,94 PERCIVAL AVE,140600,190790,0.7369,Residential,Single Family,1
200056,2020,11/3/2020,Cheshire,10 ROCKVIEW DR,199620,345900,0.5771,Residential,Single Family,0
200826,2020,9/7/2021,Glastonbury,87 BENTON LN,172800,345000,0.5008,Residential,Single Family,1
20080,2020,7/29/2021,Barkhamsted,28 WARNER RD,167170,360000,0.4643,Residential,Single Family,1
200326,2020,12/8/2020,Manchester,75 BRETTON ROAD,97700,183100,0.5335,Residential,Single Family,0
200534,2020,7/14/2021,Farmington,3 TERRIE RD,127000,187400,0.6776,Residential,Single Family,1
20142,2020,12/31/2020,Darien,15 PATTON DRIVE,472850,760000,0.6221,Residential,Single Family,0
201212,2020,5/19/2021,Griswold,132 MACKIN DR,9660,13089,0.738,Vacant Land,Nan,1
201266,2020,9/16/2021,Manchester,13-1 OAK FOREST DRIVE,93700,210000,0.4461,Residential,Condo,1
200020,2020,10/9/2020,Glastonbury,133 HOLLISTER WAY N,91100,176000,0.5176,Residential,Condo,0
20456,2020,7/1/2021,Darien,18 WEE BURN LANE,2317840,3795000,0.6107,Residential,Single Family,1
200068,2020,1/8/2021,East Windsor,70 GRIFFIN RD,188280,366000,0.5144,Residential,Single Family,1
200282,2020,4/15/2021,Madison,3 ALLISON DR,547900,825000,0.6641,Residential,Single Family,1
200600,2020,7/27/2021,East Haven,43 PROSPECT PL EXT,101680,125000,0.8134,Residential,Single Family,1
20159,2020,11/19/2020,Hartford,16 AMHERST ST,45745,180000,0.2541,Residential,Single Family,0
200604,2020,8/5/2021,Farmington,46 FLORENCE WAY,227360,335000,0.6786,Residential,Condo,1
20965,2020,7/2/2021,Hartford,86 GRANT ST,56192,160000,0.3512,Residential,Single Family,1
200374,2020,5/10/2021,Farmington,8-A LYLE CT,120570,170000,0.7092,Residential,Condo,1
2020020,2020,10/21/2020,Ansonia,75 WEBB TERR,103000,186000,0.5537,Residential,Single Family,0
200026,2020,10/8/2020,Branford,93 HAMPTON PARK,101500,140000,0.725,Residential,Condo,0
200688,2020,4/15/2021,Bristol,38 EASTWOOD RD,213150,406000,0.525,Residential,Single Family,1
20551,2020,3/22/2021,Hartford,181 ANDOVER ST,42980,170000,0.2528,Residential,Single Family,1
201339,2020,9/20/2021,Bristol,1175 FARMINGTON AVE,9098880,29300000,0.3105,Apartments,Nan,1
200409,2020,12/30/2020,Manchester,36 COLLINGRIDGE DRIVE & 40 COL,77000,65000,1.1846,Vacant Land,Nan,0
201173,2020,4/27/2021,Griswold,23 SOUTH MAIN ST UNIT 4,49420,969000,0.051,Residential,Condo,1
201121,2020,8/17/2021,Hartford,118 NORTH BEACON ST,142481,460000,0.3097,Residential,Single Family,1
201604,2020,9/29/2021,Danbury,WEST KENOSIA AV,94700,119995,0.7891,Residential,Single Family,1
201267,2020,7/27/2021,Danbury,17 CHEROKEE DR,197100,357000,0.5521,Residential,Single Family,1
20586,2020,8/30/2021,Darien,34 RICHMOND DRIVE,1120070,1810000,0.6188,Residential,Single Family,1
200930,2020,9/24/2021,Enfield,17 DALE RD,112200,155000,0.7238,Residential,Single Family,1
200208,2020,1/13/2021,East Haven,46 WHEATON RD,128070,134800,0.950074184,Residential,Single Family,1
200350,2020,3/24/2021,Groton,43B GEORGE AVE,40880,78000,0.5241,Residential,Condo,1
20545,2020,5/17/2021,East Hartford,160 MANOR CIR,90190,215000,0.4194,Residential,Single Family,1
20010,2020,10/5/2020,East Hartford,22 LIVINGSTON RD,84730,105000,0.8069,Residential,Single Family,0
200769,2020,8/18/2021,Glastonbury,969 HEBRON AVE,636500,1050000,0.6061,Commercial,Nan,1
2020109,2020,12/21/2020,Berlin,117 WINDY KNOLL DRIVE,161200,305000,0.5285,Residential,Single Family,0
20088,2020,11/9/2020,Farmington,37 PRATTLING POND RD,562910,1025000,0.5491,Residential,Single Family,0
200236,2020,2/11/2021,Farmington,27 BALDWIN DRIVE,244440,365000,0.6696,Residential,Single Family,1
200143,2020,5/11/2021,Essex,17 PARTRIDGE LN,246800,575000,0.4292,Residential,Single Family,1
20037,2020,11/16/2020,Burlington,25 SUMMIT DRIVE,112980,191000,0.591518325,Residential,Single Family,0
200049,2020,10/20/2020,Glastonbury,250 TALL TIMBERS RD,262200,410000,0.6395,Residential,Single Family,0
20558,2020,5/19/2021,East Hartford,235 EAST RIVER DR #806,174450,275000,0.6343,Residential,Condo,1
2000452,2020,7/30/2021,Cheshire,85 ORLETON CT,256210,478000,0.536,Residential,Single Family,1
200121,2020,3/23/2021,Essex,33 PROSPECT ST,892800,1050000,0.8502,Residential,Single Family,1
20086,2020,11/16/2020,Darien,16 OAKSHADE AVE,746220,1140000,0.6545,Residential,Single Family,0
200605,2020,7/2/2021,Branford,143 PHEASANT LA,148100,240700,0.6152,Residential,Condo,1
200760,2020,7/27/2021,Enfield,1 VERNON RD,116790,252000,0.4634,Residential,Single Family,1
200556,2020,2/25/2021,Manchester,205 NORTH ELM STREET,76600,102000,0.750980392,Residential,Single Family,1
200093,2020,10/19/2020,Greenwich,351 PEMBERWICK ROAD UN818,230300,385000,0.5981,Residential,Single Family,0
200586,2020,3/2/2021,Manchester,95 MIDDLE TURNPIKE WEST # A6,49600,46000,1.07826087,Residential,Condo,1
200337,2020,3/8/2021,Branford,6 CEDAR PARK,54400,110000,0.4945,Residential,Condo,1
200766,2020,3/25/2021,Greenwich,143 OTTER ROCK DRIVE,3140970,5437500,0.5776,Residential,Single Family,1
200138,2020,12/22/2020,Madison,59 HOTCHKISS LN,732900,1750000,0.4188,Residential,Single Family,0
200059,2020,11/24/2020,Coventry,534 SILVER ST,130400,435000,0.2997,Residential,Single Family,0
200208,2020,7/26/2021,East Windsor,122 WELLS RD,79790,158900,0.5021,Residential,Single Family,1
201345,2020,7/6/2021,Greenwich,13 EDGEWATER DRIVE,975520,2000316,0.4876,Residential,Single Family,1
20398,2020,6/10/2021,Darien,15 EDGERTON STREET,525560,1387500,0.378781982,Residential,Single Family,1
200600,2020,2/16/2021,Danbury,31-37 HOSPITAL AV,1925000,1800000,1.0694,Commercial,Nan,1
200238,2020,11/18/2020,Danbury,15 WOOD ST,186400,350000,0.5325,Residential,Single Family,0
200053,2020,10/19/2020,Groton,48 CREST DR,123410,260000,0.474653846,Residential,Single Family,0
20125,2020,11/9/2020,Hartford,132 CLEVELAND AVE,13020,19000,0.6852,Vacant Land,Nan,0
20152,2020,8/30/2021,Lebanon,138 RANDALL RD,152360,317000,0.4806,Residential,Single Family,1
200067,2020,1/13/2021,Mansfield,113 HIGHLAND RD,187700,375000,0.5005,Residential,Single Family,1
200045,2020,2/4/2021,Bethlehem,2 HIGHLAND RD,96400,196000,0.4918,Residential,Single Family,1
201081,2020,8/2/2021,Manchester,190 MAIN STREET UNIT A,118200,203000,0.5822,Residential,Condo,1
201064,2020,6/15/2021,Danbury,27 NO NABBY RD,233100,475000,0.4907,Residential,Single Family,1
200069,2020,11/30/2020,Bloomfield,25 HUBBARD STREET,81620,175000,0.4664,Residential,Single Family,0
200323,2020,5/5/2021,Guilford,147 WHISPERING WOODS RD,453400,1027700,0.4411,Residential,Single Family,1
20874,2020,6/14/2021,Hartford,196 RUSS ST,77029,247000,0.3118,Residential,Three Family,1
200821,2020,8/16/2021,Enfield,38 ALOHA DR,112040,245000,0.4573,Residential,Single Family,1
200129,2020,8/9/2021,Beacon Falls,300 PINESBRIDGE ROAD,199950,345000,0.5795,Residential,Single Family,1
200580,2020,2/3/2021,Greenwich,41 GROSSETT ROAD,3013570,5400000,0.558068519,Residential,Single Family,1
200174,2020,4/19/2021,Coventry,349 RILEY MOUNTAIN RD,258900,429900,0.6022,Residential,Single Family,1
200361,2020,5/3/2021,Farmington,15 DUNHAM LA,582770,800000,0.7284,Residential,Single Family,1
200114,2020,11/17/2020,Guilford,23 WILLIAMSBURG CIRCLE,267180,455000,0.5872,Residential,Single Family,0
200461,2020,8/16/2021,Avon,55 CHIDSEY ROAD,467310,729000,0.641,Residential,Single Family,1
20518,2020,3/10/2021,Hartford,"57 JOHN ST #003N, 57 JOHN ST #",79100,262500,0.3013,Residential,Condo,1
20276,2020,1/8/2021,East Hartford,202 GREENWOOD ST,89130,167900,0.5308,Residential,Single Family,1
20197,2020,12/8/2020,East Hartford,316 FORBES ST,104480,190000,0.5498,Residential,Single Family,0
200528,2020,6/14/2021,Groton,83 NEW LONDON RD,118930,295000,0.4031,Residential,Single Family,1
20573,2020,3/30/2021,Hartford,52 RUSS ST,146300,233333,0.627,Commercial,Nan,1
200406,2020,8/6/2021,Killingly,341 BREAKNECK HILL RD,30520,45000,0.6782,Vacant Land,Nan,1
200313,2020,12/3/2020,Danbury,11 EDGEWATER CI,216600,385000,0.5625,Residential,Condo,0
200480,2020,5/25/2021,Groton,55 CROWN KNOLL CT S87,49350,117000,0.4217,Residential,Condo,1
20000140,2020,1/19/2021,Brookfield,53 MERWIN BROOK RD,317150,570000,0.556403509,Residential,Single Family,1
200055,2020,12/14/2020,Canton,30 LAWTON ROAD,304290,550000,0.5532,Residential,Single Family,0
200056,2020,10/14/2020,Bristol,34 CHIPPENWOOD LA,233520,370000,0.6311,Residential,Single Family,0
20355,2020,2/16/2021,East Hartford,95 PARK AVE,106060,211000,0.5026,Residential,Single Family,1
200524,2020,9/27/2021,Avon,126 NEW ROAD,459190,816000,0.5627,Residential,Single Family,1
20043,2020,3/4/2021,Bolton,70 FRENCH RD,72400,79900,0.9061,Vacant Land,Nan,1
201570,2020,9/23/2021,Danbury,5 NABBY RD A-34,38400,95000,0.4042,Residential,Condo,1
200401,2020,6/29/2021,Madison,61 LIBERTY ST,386300,775000,0.4984,Residential,Single Family,1
20029,2020,11/17/2020,Lebanon,105 LAKESIDE DR,74710,99500,0.7508,Residential,Single Family,0
200137,2020,4/26/2021,Mansfield,10 VALLEY VIEW DR,24700,49900,0.4949,Residential,Single Family,1
200020,2020,10/7/2020,Killingly,24 TAOS DR,107520,51780,2.0764,Residential,Single Family,0
200480,2020,1/11/2021,Greenwich,313 WEST LYON FARM DRIVE,705950,1050000,0.6723,Residential,Single Family,1
200172,2020,11/12/2020,Bristol,361 DIVINITY ST,358120,223000,1.6059,Residential,Four Family,0
201312,2020,7/26/2021,Cromwell,24 DOGWOOD COURT,87780,125000,0.7022,Residential,Condo,1
20061,2020,12/21/2020,Derby,46-48 SPRING ST,167300,225000,0.7435,Residential,Two Family,0
200648,2020,7/22/2021,Branford,83 FLAT ROCK RD,277100,550000,0.5038,Residential,Single Family,1
200492,2020,6/30/2021,Farmington,80 YORKSHIRE COURT,120120,465352,0.2581,Residential,Condo,1
201711,2020,9/9/2021,Greenwich,15 SHOAL POINT ROAD,2623950,3900000,0.6728,Residential,Single Family,1
200058,2020,10/21/2020,Branford,26 POMPANO AVE,175900,265000,0.6637,Residential,Single Family,0
200078,2020,3/1/2021,Killingworth,19 BEAR PATH LANE,342740,660000,0.5193,Residential,Single Family,1
20428,2020,2/17/2021,Hartford,25 CHARTER OAK AVE,189770,245000,0.7745,Commercial,Nan,1
200752,2020,8/9/2021,Glastonbury,1326 HEBRON AVE,58500,501000,0.1167,Residential,Single Family,1
200510,2020,6/7/2021,Groton,44 NANTUCKET DR,103110,250000,0.41244,Residential,Single Family,1
200527,2020,5/17/2021,Enfield,46 SAPPHIRE ST,123730,250000,0.4949,Residential,Single Family,1
2020006,2020,10/6/2020,Ansonia,11 HUGHES CIR,115800,250000,0.4632,Residential,Condo,0
200116,2020,12/14/2020,Avon,24 LAWRENCE AVENUE,185760,299000,0.6212,Residential,Single Family,0
2020288,2020,7/27/2021,Ansonia,91 FOURTH ST UNIT 29,22100,70000,0.315714286,Residential,Condo,1
200040,2020,11/3/2020,East Haddam,142 NEWBERY RD,175350,275000,0.6376,Residential,Single Family,0
201012,2020,7/20/2021,Hartford,121 BUSHNELL ST,87612,266000,0.3293,Residential,Three Family,1
200161,2020,3/29/2021,Coventry,MASON ST,35000,24000,1.4583,Vacant Land,Nan,1
200274,2020,11/25/2020,Manchester,24 NEWMAN STREET,124700,313000,0.3984,Residential,Three Family,0
201156,2020,6/9/2021,Greenwich,273 VALLEY ROAD,590450,1295000,0.4559,Residential,Single Family,1
200219,2020,6/2/2021,Colchester,87 COLCHESTER COMMONS,48800,113400,0.4303,Residential,Single Family,1
200406,2020,7/1/2021,Madison,32 LAKEWOOD DR,288200,372500,0.773691275,Residential,Single Family,1
200066,2020,3/17/2021,Goshen,6 NORTH STREET,350820,385000,0.9112,Residential,Single Family,1
